START,2022/04/22,12:16:48,
ID,170800000,
INTERVAL,010,sec,
,MAIN,,,SUB-1,,,SUB-2,,,Remark,
No. ,Func. ,Value,Unit,Func. ,Value,Unit,Func. ,Value,Unit,
1,DCV,02.6268,V,,,,,,,,
2,DCV,02.6244,V,,,,,,,,
3,DCV,02.6219,V,,,,,,,,
4,DCV,02.6197,V,,,,,,,,
5,DCV,02.6175,V,,,,,,,,
6,DCV,02.6154,V,,,,,,,,
7,DCV,02.6133,V,,,,,,,,
8,DCV,02.6113,V,,,,,,,,
9,DCV,02.6093,V,,,,,,,,
10,DCV,02.6073,V,,,,,,,,
11,DCV,02.6053,V,,,,,,,,
12,DCV,02.6033,V,,,,,,,,
13,DCV,02.6015,V,,,,,,,,
14,DCV,02.5994,V,,,,,,,,
15,DCV,02.5976,V,,,,,,,,
16,DCV,02.5957,V,,,,,,,,
17,DCV,02.5939,V,,,,,,,,
18,DCV,02.5920,V,,,,,,,,
19,DCV,02.5902,V,,,,,,,,
20,DCV,02.5884,V,,,,,,,,
21,DCV,02.5866,V,,,,,,,,
22,DCV,02.5848,V,,,,,,,,
23,DCV,02.5831,V,,,,,,,,
24,DCV,02.5814,V,,,,,,,,
25,DCV,02.5797,V,,,,,,,,
26,DCV,02.5779,V,,,,,,,,
27,DCV,02.5762,V,,,,,,,,
28,DCV,02.5746,V,,,,,,,,
29,DCV,02.5729,V,,,,,,,,
30,DCV,02.5713,V,,,,,,,,
31,DCV,02.5696,V,,,,,,,,
32,DCV,02.5680,V,,,,,,,,
33,DCV,02.5663,V,,,,,,,,
34,DCV,02.5647,V,,,,,,,,
35,DCV,02.5632,V,,,,,,,,
36,DCV,02.5616,V,,,,,,,,
37,DCV,02.5600,V,,,,,,,,
38,DCV,02.5583,V,,,,,,,,
39,DCV,02.5568,V,,,,,,,,
40,DCV,02.5554,V,,,,,,,,
41,DCV,02.5538,V,,,,,,,,
42,DCV,02.5523,V,,,,,,,,
43,DCV,02.5509,V,,,,,,,,
44,DCV,02.5494,V,,,,,,,,
45,DCV,02.5478,V,,,,,,,,
46,DCV,02.5463,V,,,,,,,,
47,DCV,02.5449,V,,,,,,,,
48,DCV,02.5433,V,,,,,,,,
49,DCV,02.5418,V,,,,,,,,
50,DCV,02.5406,V,,,,,,,,
51,DCV,02.5390,V,,,,,,,,
52,DCV,02.5377,V,,,,,,,,
