START,2022/03/27,09:26:48,
ID,170800000,
INTERVAL,010,sec,
,MAIN,,,SUB-1,,,SUB-2,,,Remark,
No. ,Func. ,Value,Unit,Func. ,Value,Unit,Func. ,Value,Unit,
1,DCV,01.4535,V,,,,,,,,
2,DCV,01.4531,V,,,,,,,,
3,DCV,01.4535,V,,,,,,,,
4,DCV,01.4599,V,,,,,,,,
5,DCV,01.4875,V,,,,,,,,
6,DCV,01.5194,V,,,,,,,,
7,DCV,01.5511,V,,,,,,,,
8,DCV,01.5822,V,,,,,,,,
9,DCV,01.6116,V,,,,,,,,
10,DCV,01.6422,V,,,,,,,,
11,DCV,01.6726,V,,,,,,,,
12,DCV,01.7026,V,,,,,,,,
13,DCV,01.7320,V,,,,,,,,
14,DCV,01.7612,V,,,,,,,,
15,DCV,01.7902,V,,,,,,,,
16,DCV,01.8188,V,,,,,,,,
17,DCV,01.8467,V,,,,,,,,
18,DCV,01.8746,V,,,,,,,,
19,DCV,01.9020,V,,,,,,,,
20,DCV,01.9291,V,,,,,,,,
21,DCV,01.9558,V,,,,,,,,
22,DCV,01.9821,V,,,,,,,,
23,DCV,02.0083,V,,,,,,,,
24,DCV,02.0340,V,,,,,,,,
25,DCV,02.0592,V,,,,,,,,
26,DCV,02.0843,V,,,,,,,,
27,DCV,02.1089,V,,,,,,,,
28,DCV,02.1332,V,,,,,,,,
29,DCV,02.1569,V,,,,,,,,
30,DCV,02.1805,V,,,,,,,,
31,DCV,02.2036,V,,,,,,,,
32,DCV,02.2264,V,,,,,,,,
33,DCV,02.2486,V,,,,,,,,
34,DCV,02.2705,V,,,,,,,,
35,DCV,02.2924,V,,,,,,,,
36,DCV,02.3135,V,,,,,,,,
37,DCV,02.3343,V,,,,,,,,
38,DCV,02.3547,V,,,,,,,,
39,DCV,02.3745,V,,,,,,,,
40,DCV,02.3939,V,,,,,,,,
41,DCV,02.4131,V,,,,,,,,
42,DCV,02.4318,V,,,,,,,,
43,DCV,02.4499,V,,,,,,,,
44,DCV,02.4675,V,,,,,,,,
45,DCV,02.4847,V,,,,,,,,
46,DCV,02.5017,V,,,,,,,,
47,DCV,02.5178,V,,,,,,,,
48,DCV,02.5336,V,,,,,,,,
49,DCV,02.5487,V,,,,,,,,
50,DCV,02.5635,V,,,,,,,,
51,DCV,02.5781,V,,,,,,,,
52,DCV,02.5921,V,,,,,,,,
53,DCV,02.6058,V,,,,,,,,
54,DCV,02.6190,V,,,,,,,,
55,DCV,02.6318,V,,,,,,,,
56,DCV,02.6444,V,,,,,,,,
57,DCV,02.6564,V,,,,,,,,
58,DCV,02.6681,V,,,,,,,,
59,DCV,02.6794,V,,,,,,,,
60,DCV,02.6903,V,,,,,,,,
61,DCV,02.7006,V,,,,,,,,
62,DCV,02.7107,V,,,,,,,,
63,DCV,02.7203,V,,,,,,,,
64,DCV,02.7293,V,,,,,,,,
65,DCV,02.7377,V,,,,,,,,
66,DCV,02.7458,V,,,,,,,,
67,DCV,02.7535,V,,,,,,,,
68,DCV,02.7610,V,,,,,,,,
69,DCV,02.7679,V,,,,,,,,
70,DCV,02.7744,V,,,,,,,,
71,DCV,02.7804,V,,,,,,,,
72,DCV,02.7861,V,,,,,,,,
73,DCV,02.7910,V,,,,,,,,
74,DCV,02.7958,V,,,,,,,,
75,DCV,02.8001,V,,,,,,,,
76,DCV,02.8038,V,,,,,,,,
77,DCV,02.8067,V,,,,,,,,
78,DCV,02.8090,V,,,,,,,,
79,DCV,02.8113,V,,,,,,,,
80,DCV,02.8138,V,,,,,,,,
81,DCV,02.8163,V,,,,,,,,
82,DCV,02.8185,V,,,,,,,,
83,DCV,02.8203,V,,,,,,,,
84,DCV,02.8223,V,,,,,,,,
85,DCV,02.8243,V,,,,,,,,
86,DCV,02.8270,V,,,,,,,,
87,DCV,02.8299,V,,,,,,,,
88,DCV,02.8329,V,,,,,,,,
89,DCV,02.8363,V,,,,,,,,
90,DCV,02.8394,V,,,,,,,,
91,DCV,02.8421,V,,,,,,,,
92,DCV,02.8449,V,,,,,,,,
93,DCV,02.8477,V,,,,,,,,
94,DCV,02.8505,V,,,,,,,,
95,DCV,02.8536,V,,,,,,,,
96,DCV,02.8567,V,,,,,,,,
97,DCV,02.8601,V,,,,,,,,
98,DCV,02.8631,V,,,,,,,,
99,DCV,02.8659,V,,,,,,,,
100,DCV,02.8682,V,,,,,,,,
101,DCV,02.8705,V,,,,,,,,
102,DCV,02.8728,V,,,,,,,,
103,DCV,02.8749,V,,,,,,,,
104,DCV,02.8767,V,,,,,,,,
105,DCV,02.8785,V,,,,,,,,
106,DCV,02.8800,V,,,,,,,,
107,DCV,02.8815,V,,,,,,,,
108,DCV,02.8829,V,,,,,,,,
109,DCV,02.8844,V,,,,,,,,
110,DCV,02.8855,V,,,,,,,,
111,DCV,02.8869,V,,,,,,,,
112,DCV,02.8877,V,,,,,,,,
113,DCV,02.8888,V,,,,,,,,
114,DCV,02.8896,V,,,,,,,,
115,DCV,02.8905,V,,,,,,,,
116,DCV,02.8910,V,,,,,,,,
117,DCV,02.8915,V,,,,,,,,
118,DCV,02.8923,V,,,,,,,,
119,DCV,02.8929,V,,,,,,,,
120,DCV,02.8939,V,,,,,,,,
121,DCV,02.8949,V,,,,,,,,
122,DCV,02.8956,V,,,,,,,,
123,DCV,02.8965,V,,,,,,,,
124,DCV,02.8971,V,,,,,,,,
125,DCV,02.8978,V,,,,,,,,
126,DCV,02.8988,V,,,,,,,,
127,DCV,02.8999,V,,,,,,,,
128,DCV,02.9007,V,,,,,,,,
129,DCV,02.9012,V,,,,,,,,
130,DCV,02.9019,V,,,,,,,,
131,DCV,02.9034,V,,,,,,,,
132,DCV,02.9043,V,,,,,,,,
133,DCV,02.9057,V,,,,,,,,
134,DCV,02.9024,V,,,,,,,,
135,DCV,02.8996,V,,,,,,,,
136,DCV,02.8979,V,,,,,,,,
137,DCV,02.8985,V,,,,,,,,
138,DCV,02.8998,V,,,,,,,,
139,DCV,02.9009,V,,,,,,,,
140,DCV,02.9010,V,,,,,,,,
141,DCV,02.9008,V,,,,,,,,
142,DCV,02.9015,V,,,,,,,,
143,DCV,02.9003,V,,,,,,,,
144,DCV,02.8979,V,,,,,,,,
145,DCV,02.8922,V,,,,,,,,
146,DCV,02.8865,V,,,,,,,,
147,DCV,02.8805,V,,,,,,,,
148,DCV,02.8744,V,,,,,,,,
149,DCV,02.8683,V,,,,,,,,
150,DCV,02.8627,V,,,,,,,,
151,DCV,02.8569,V,,,,,,,,
152,DCV,02.8511,V,,,,,,,,
153,DCV,02.8457,V,,,,,,,,
154,DCV,02.8403,V,,,,,,,,
155,DCV,02.8350,V,,,,,,,,
156,DCV,02.8298,V,,,,,,,,
157,DCV,02.8245,V,,,,,,,,
158,DCV,02.8196,V,,,,,,,,
159,DCV,02.8147,V,,,,,,,,
160,DCV,02.8098,V,,,,,,,,
161,DCV,02.8051,V,,,,,,,,
162,DCV,02.8001,V,,,,,,,,
163,DCV,02.7955,V,,,,,,,,
164,DCV,02.7905,V,,,,,,,,
165,DCV,02.7861,V,,,,,,,,
166,DCV,02.7815,V,,,,,,,,
167,DCV,02.7769,V,,,,,,,,
168,DCV,02.7726,V,,,,,,,,
169,DCV,02.7683,V,,,,,,,,
170,DCV,02.7642,V,,,,,,,,
171,DCV,02.7606,V,,,,,,,,
172,DCV,02.7579,V,,,,,,,,
173,DCV,02.7555,V,,,,,,,,
174,DCV,02.7529,V,,,,,,,,
175,DCV,02.7502,V,,,,,,,,
176,DCV,02.7478,V,,,,,,,,
177,DCV,02.7456,V,,,,,,,,
178,DCV,02.7435,V,,,,,,,,
179,DCV,02.7413,V,,,,,,,,
180,DCV,02.7392,V,,,,,,,,
181,DCV,02.7370,V,,,,,,,,
