START,2022/03/25,09:08:21,
ID,170800000,
INTERVAL,010,sec,
,MAIN,,,SUB-1,,,SUB-2,,,Remark,
No. ,Func. ,Value,Unit,Func. ,Value,Unit,Func. ,Value,Unit,
1,DCV,01.3569,V,,,,,,,,
2,DCV,01.3569,V,,,,,,,,
3,DCV,01.3570,V,,,,,,,,
4,DCV,01.3572,V,,,,,,,,
5,DCV,01.3572,V,,,,,,,,
6,DCV,01.3573,V,,,,,,,,
7,DCV,01.3573,V,,,,,,,,
8,DCV,01.3574,V,,,,,,,,
9,DCV,01.3574,V,,,,,,,,
10,DCV,01.3575,V,,,,,,,,
11,DCV,01.3576,V,,,,,,,,
12,DCV,01.3577,V,,,,,,,,
13,DCV,01.3578,V,,,,,,,,
14,DCV,01.3578,V,,,,,,,,
15,DCV,01.3579,V,,,,,,,,
16,DCV,01.3580,V,,,,,,,,
17,DCV,01.3581,V,,,,,,,,
18,DCV,01.3583,V,,,,,,,,
19,DCV,01.3584,V,,,,,,,,
20,DCV,01.3584,V,,,,,,,,
21,DCV,01.3584,V,,,,,,,,
22,DCV,01.3585,V,,,,,,,,
23,DCV,01.3586,V,,,,,,,,
24,DCV,01.3587,V,,,,,,,,
25,DCV,01.3588,V,,,,,,,,
26,DCV,01.3589,V,,,,,,,,
27,DCV,01.3590,V,,,,,,,,
28,DCV,01.3592,V,,,,,,,,
29,DCV,01.3592,V,,,,,,,,
30,DCV,01.3593,V,,,,,,,,
31,DCV,01.3594,V,,,,,,,,
32,DCV,01.3597,V,,,,,,,,
33,DCV,01.3597,V,,,,,,,,
34,DCV,01.3598,V,,,,,,,,
35,DCV,01.3599,V,,,,,,,,
36,DCV,01.3599,V,,,,,,,,
37,DCV,01.3600,V,,,,,,,,
38,DCV,01.3601,V,,,,,,,,
39,DCV,01.3602,V,,,,,,,,
40,DCV,01.3602,V,,,,,,,,
41,DCV,01.3602,V,,,,,,,,
42,DCV,01.3606,V,,,,,,,,
43,DCV,01.3606,V,,,,,,,,
44,DCV,01.3607,V,,,,,,,,
45,DCV,01.3608,V,,,,,,,,
46,DCV,01.3608,V,,,,,,,,
47,DCV,01.3609,V,,,,,,,,
48,DCV,01.3609,V,,,,,,,,
49,DCV,01.3612,V,,,,,,,,
50,DCV,01.3612,V,,,,,,,,
