START,2022/04/05,08:29:06,
ID,170800000,
INTERVAL,010,sec,
,MAIN,,,SUB-1,,,SUB-2,,,Remark,
No. ,Func. ,Value,Unit,Func. ,Value,Unit,Func. ,Value,Unit,
1,DCV,00.8598,V,,,,,,,,
2,DCV,00.8597,V,,,,,,,,
3,DCV,00.8607,V,,,,,,,,
4,DCV,00.8770,V,,,,,,,,
5,DCV,00.9072,V,,,,,,,,
6,DCV,00.9974,V,,,,,,,,
7,DCV,01.0852,V,,,,,,,,
8,DCV,01.1701,V,,,,,,,,
9,DCV,01.2143,V,,,,,,,,
10,DCV,01.2949,V,,,,,,,,
11,DCV,01.3734,V,,,,,,,,
12,DCV,01.4487,V,,,,,,,,
13,DCV,01.5229,V,,,,,,,,
14,DCV,01.5950,V,,,,,,,,
15,DCV,01.6652,V,,,,,,,,
16,DCV,01.7335,V,,,,,,,,
17,DCV,01.8007,V,,,,,,,,
18,DCV,01.8655,V,,,,,,,,
19,DCV,01.9297,V,,,,,,,,
20,DCV,01.9922,V,,,,,,,,
21,DCV,02.0530,V,,,,,,,,
22,DCV,02.1118,V,,,,,,,,
23,DCV,02.1688,V,,,,,,,,
24,DCV,02.2231,V,,,,,,,,
25,DCV,02.2753,V,,,,,,,,
26,DCV,02.3243,V,,,,,,,,
27,DCV,02.3698,V,,,,,,,,
28,DCV,02.4120,V,,,,,,,,
29,DCV,02.4495,V,,,,,,,,
30,DCV,02.4836,V,,,,,,,,
31,DCV,02.5138,V,,,,,,,,
32,DCV,02.5399,V,,,,,,,,
33,DCV,02.5625,V,,,,,,,,
34,DCV,02.5820,V,,,,,,,,
35,DCV,02.5984,V,,,,,,,,
36,DCV,02.6125,V,,,,,,,,
37,DCV,02.6243,V,,,,,,,,
38,DCV,02.6345,V,,,,,,,,
39,DCV,02.6429,V,,,,,,,,
40,DCV,02.6499,V,,,,,,,,
41,DCV,02.6559,V,,,,,,,,
42,DCV,02.6607,V,,,,,,,,
43,DCV,02.6647,V,,,,,,,,
44,DCV,02.6681,V,,,,,,,,
45,DCV,02.6710,V,,,,,,,,
46,DCV,02.6733,V,,,,,,,,
47,DCV,02.6754,V,,,,,,,,
48,DCV,02.6768,V,,,,,,,,
49,DCV,02.6780,V,,,,,,,,
50,DCV,02.6789,V,,,,,,,,
51,DCV,02.6796,V,,,,,,,,
52,DCV,02.6800,V,,,,,,,,
53,DCV,02.6803,V,,,,,,,,
54,DCV,02.6804,V,,,,,,,,
55,DCV,02.6803,V,,,,,,,,
56,DCV,02.6802,V,,,,,,,,
57,DCV,02.6797,V,,,,,,,,
58,DCV,02.6794,V,,,,,,,,
59,DCV,02.6787,V,,,,,,,,
60,DCV,02.6780,V,,,,,,,,
61,DCV,02.6774,V,,,,,,,,
62,DCV,02.6766,V,,,,,,,,
63,DCV,02.6758,V,,,,,,,,
64,DCV,02.6749,V,,,,,,,,
65,DCV,02.6740,V,,,,,,,,
66,DCV,02.6730,V,,,,,,,,
67,DCV,02.6720,V,,,,,,,,
68,DCV,02.6709,V,,,,,,,,
69,DCV,02.6701,V,,,,,,,,
70,DCV,02.6691,V,,,,,,,,
71,DCV,02.6684,V,,,,,,,,
72,DCV,02.6675,V,,,,,,,,
73,DCV,02.6664,V,,,,,,,,
74,DCV,02.6653,V,,,,,,,,
75,DCV,02.6643,V,,,,,,,,
76,DCV,02.6632,V,,,,,,,,
77,DCV,02.6621,V,,,,,,,,
78,DCV,02.6609,V,,,,,,,,
79,DCV,02.6597,V,,,,,,,,
80,DCV,02.6586,V,,,,,,,,
81,DCV,02.6573,V,,,,,,,,
82,DCV,02.6562,V,,,,,,,,
83,DCV,02.6549,V,,,,,,,,
84,DCV,02.6536,V,,,,,,,,
85,DCV,02.6525,V,,,,,,,,
86,DCV,02.6512,V,,,,,,,,
87,DCV,02.6498,V,,,,,,,,
88,DCV,02.6486,V,,,,,,,,
89,DCV,02.6471,V,,,,,,,,
90,DCV,02.6457,V,,,,,,,,
91,DCV,02.6444,V,,,,,,,,
92,DCV,02.6430,V,,,,,,,,
93,DCV,02.6417,V,,,,,,,,
94,DCV,02.6403,V,,,,,,,,
95,DCV,02.6389,V,,,,,,,,
96,DCV,02.6373,V,,,,,,,,
97,DCV,02.6358,V,,,,,,,,
98,DCV,02.6346,V,,,,,,,,
99,DCV,02.6332,V,,,,,,,,
100,DCV,02.6319,V,,,,,,,,
101,DCV,02.6306,V,,,,,,,,
102,DCV,02.6290,V,,,,,,,,
103,DCV,02.6277,V,,,,,,,,
104,DCV,02.6265,V,,,,,,,,
105,DCV,02.6249,V,,,,,,,,
106,DCV,02.6236,V,,,,,,,,
107,DCV,02.6221,V,,,,,,,,
108,DCV,02.6207,V,,,,,,,,
109,DCV,02.6195,V,,,,,,,,
