START,2022/03/24,10:22:51,
ID,170800000,
INTERVAL,010,sec,
,MAIN,,,SUB-1,,,SUB-2,,,Remark,
No. ,Func. ,Value,Unit,Func. ,Value,Unit,Func. ,Value,Unit,
1,DCV,02.9239,V,,,,,,,,
2,DCV,02.9172,V,,,,,,,,
3,DCV,02.9107,V,,,,,,,,
4,DCV,02.9042,V,,,,,,,,
5,DCV,02.8981,V,,,,,,,,
6,DCV,02.8920,V,,,,,,,,
7,DCV,02.8859,V,,,,,,,,
8,DCV,02.8801,V,,,,,,,,
9,DCV,02.8742,V,,,,,,,,
10,DCV,02.8684,V,,,,,,,,
11,DCV,02.8629,V,,,,,,,,
12,DCV,02.8571,V,,,,,,,,
13,DCV,02.8517,V,,,,,,,,
14,DCV,02.8463,V,,,,,,,,
15,DCV,02.8408,V,,,,,,,,
16,DCV,02.8357,V,,,,,,,,
17,DCV,02.8305,V,,,,,,,,
18,DCV,02.8253,V,,,,,,,,
19,DCV,02.8202,V,,,,,,,,
20,DCV,02.8154,V,,,,,,,,
21,DCV,02.8106,V,,,,,,,,
22,DCV,02.8059,V,,,,,,,,
23,DCV,02.8011,V,,,,,,,,
24,DCV,02.7964,V,,,,,,,,
25,DCV,02.7918,V,,,,,,,,
26,DCV,02.7873,V,,,,,,,,
27,DCV,02.7826,V,,,,,,,,
28,DCV,02.7781,V,,,,,,,,
29,DCV,02.7737,V,,,,,,,,
30,DCV,02.7694,V,,,,,,,,
31,DCV,02.7649,V,,,,,,,,
32,DCV,02.7606,V,,,,,,,,
33,DCV,02.7566,V,,,,,,,,
34,DCV,02.7525,V,,,,,,,,
35,DCV,02.7484,V,,,,,,,,
36,DCV,02.7445,V,,,,,,,,
37,DCV,02.7404,V,,,,,,,,
38,DCV,02.7364,V,,,,,,,,
39,DCV,02.7326,V,,,,,,,,
40,DCV,02.7286,V,,,,,,,,
41,DCV,02.7248,V,,,,,,,,
42,DCV,02.7209,V,,,,,,,,
43,DCV,02.7171,V,,,,,,,,
44,DCV,02.7134,V,,,,,,,,
45,DCV,02.7097,V,,,,,,,,
46,DCV,02.7061,V,,,,,,,,
47,DCV,02.7024,V,,,,,,,,
48,DCV,02.6988,V,,,,,,,,
49,DCV,02.6955,V,,,,,,,,
50,DCV,02.6920,V,,,,,,,,
51,DCV,02.6886,V,,,,,,,,
52,DCV,02.6851,V,,,,,,,,
53,DCV,02.6818,V,,,,,,,,
54,DCV,02.6783,V,,,,,,,,
55,DCV,02.6750,V,,,,,,,,
56,DCV,02.6717,V,,,,,,,,
57,DCV,02.6684,V,,,,,,,,
58,DCV,02.6652,V,,,,,,,,
