START,2022/04/05,12:32:30,
ID,170800000,
INTERVAL,010,sec,
,MAIN,,,SUB-1,,,SUB-2,,,Remark,
No. ,Func. ,Value,Unit,Func. ,Value,Unit,Func. ,Value,Unit,
1,DCV,02.2269,V,,,,,,,,
2,DCV,02.2510,V,,,,,,,,
3,DCV,02.3079,V,,,,,,,,
4,DCV,02.3671,V,,,,,,,,
5,DCV,02.4216,V,,,,,,,,
6,DCV,02.4714,V,,,,,,,,
7,DCV,02.5162,V,,,,,,,,
8,DCV,02.5554,V,,,,,,,,
9,DCV,02.5894,V,,,,,,,,
10,DCV,02.6184,V,,,,,,,,
11,DCV,02.6426,V,,,,,,,,
12,DCV,02.6627,V,,,,,,,,
13,DCV,02.6790,V,,,,,,,,
14,DCV,02.6923,V,,,,,,,,
15,DCV,02.7033,V,,,,,,,,
16,DCV,02.7120,V,,,,,,,,
17,DCV,02.7189,V,,,,,,,,
18,DCV,02.7245,V,,,,,,,,
19,DCV,02.7291,V,,,,,,,,
20,DCV,02.7326,V,,,,,,,,
21,DCV,02.7354,V,,,,,,,,
22,DCV,02.7373,V,,,,,,,,
23,DCV,02.7389,V,,,,,,,,
24,DCV,02.7399,V,,,,,,,,
25,DCV,02.7407,V,,,,,,,,
26,DCV,02.7410,V,,,,,,,,
27,DCV,02.7411,V,,,,,,,,
28,DCV,02.7410,V,,,,,,,,
29,DCV,02.7405,V,,,,,,,,
30,DCV,02.7397,V,,,,,,,,
31,DCV,02.7387,V,,,,,,,,
32,DCV,02.7375,V,,,,,,,,
33,DCV,02.7363,V,,,,,,,,
34,DCV,02.7350,V,,,,,,,,
35,DCV,02.7335,V,,,,,,,,
36,DCV,02.7321,V,,,,,,,,
37,DCV,02.7307,V,,,,,,,,
38,DCV,02.7292,V,,,,,,,,
39,DCV,02.7275,V,,,,,,,,
40,DCV,02.7259,V,,,,,,,,
41,DCV,02.7242,V,,,,,,,,
42,DCV,02.7225,V,,,,,,,,
43,DCV,02.7208,V,,,,,,,,
44,DCV,02.7189,V,,,,,,,,
45,DCV,02.7170,V,,,,,,,,
46,DCV,02.7152,V,,,,,,,,
47,DCV,02.7133,V,,,,,,,,
48,DCV,02.7113,V,,,,,,,,
49,DCV,02.7092,V,,,,,,,,
50,DCV,02.7072,V,,,,,,,,
51,DCV,02.7052,V,,,,,,,,
52,DCV,02.7032,V,,,,,,,,
53,DCV,02.7012,V,,,,,,,,
54,DCV,02.6992,V,,,,,,,,
55,DCV,02.6972,V,,,,,,,,
56,DCV,02.6953,V,,,,,,,,
57,DCV,02.6934,V,,,,,,,,
58,DCV,02.6914,V,,,,,,,,
59,DCV,02.6893,V,,,,,,,,
60,DCV,02.6874,V,,,,,,,,
61,DCV,02.6853,V,,,,,,,,
62,DCV,02.6833,V,,,,,,,,
63,DCV,02.6813,V,,,,,,,,
64,DCV,02.6793,V,,,,,,,,
65,DCV,02.6770,V,,,,,,,,
66,DCV,02.6749,V,,,,,,,,
67,DCV,02.6729,V,,,,,,,,
68,DCV,02.6709,V,,,,,,,,
69,DCV,02.6689,V,,,,,,,,
70,DCV,02.6669,V,,,,,,,,
71,DCV,02.6649,V,,,,,,,,
72,DCV,02.6628,V,,,,,,,,
73,DCV,02.6607,V,,,,,,,,
74,DCV,02.6586,V,,,,,,,,
75,DCV,02.6566,V,,,,,,,,
76,DCV,02.6546,V,,,,,,,,
77,DCV,02.6526,V,,,,,,,,
78,DCV,02.6507,V,,,,,,,,
79,DCV,02.6489,V,,,,,,,,
80,DCV,02.6470,V,,,,,,,,
81,DCV,02.6453,V,,,,,,,,
82,DCV,02.6434,V,,,,,,,,
83,DCV,02.6417,V,,,,,,,,
84,DCV,02.6400,V,,,,,,,,
85,DCV,02.6383,V,,,,,,,,
86,DCV,02.6366,V,,,,,,,,
87,DCV,02.6348,V,,,,,,,,
88,DCV,02.6328,V,,,,,,,,
89,DCV,02.6310,V,,,,,,,,
90,DCV,02.6292,V,,,,,,,,
91,DCV,02.6276,V,,,,,,,,
92,DCV,02.6257,V,,,,,,,,
93,DCV,02.6239,V,,,,,,,,
94,DCV,02.6222,V,,,,,,,,
95,DCV,02.6203,V,,,,,,,,
96,DCV,02.6186,V,,,,,,,,
97,DCV,02.6170,V,,,,,,,,
98,DCV,02.6152,V,,,,,,,,
99,DCV,02.6136,V,,,,,,,,
100,DCV,02.6119,V,,,,,,,,
101,DCV,02.6103,V,,,,,,,,
102,DCV,02.6087,V,,,,,,,,
103,DCV,02.6070,V,,,,,,,,
104,DCV,02.6051,V,,,,,,,,
105,DCV,02.6037,V,,,,,,,,
106,DCV,02.6019,V,,,,,,,,
107,DCV,02.6002,V,,,,,,,,
108,DCV,02.5985,V,,,,,,,,
109,DCV,02.5970,V,,,,,,,,
110,DCV,02.5954,V,,,,,,,,
111,DCV,02.5938,V,,,,,,,,
112,DCV,02.5920,V,,,,,,,,
113,DCV,02.5904,V,,,,,,,,
114,DCV,02.5885,V,,,,,,,,
115,DCV,02.5869,V,,,,,,,,
116,DCV,02.5853,V,,,,,,,,
117,DCV,02.5837,V,,,,,,,,
118,DCV,02.5820,V,,,,,,,,
119,DCV,02.5804,V,,,,,,,,
120,DCV,02.5788,V,,,,,,,,
121,DCV,02.5775,V,,,,,,,,
122,DCV,02.5758,V,,,,,,,,
123,DCV,02.5744,V,,,,,,,,
124,DCV,02.5732,V,,,,,,,,
125,DCV,02.5717,V,,,,,,,,
126,DCV,02.5705,V,,,,,,,,
127,DCV,02.5691,V,,,,,,,,
128,DCV,02.5680,V,,,,,,,,
129,DCV,02.5668,V,,,,,,,,
130,DCV,02.5656,V,,,,,,,,
131,DCV,02.5645,V,,,,,,,,
132,DCV,02.5633,V,,,,,,,,
133,DCV,02.5621,V,,,,,,,,
134,DCV,02.5608,V,,,,,,,,
135,DCV,02.5594,V,,,,,,,,
136,DCV,02.5584,V,,,,,,,,
137,DCV,02.5570,V,,,,,,,,
138,DCV,02.5559,V,,,,,,,,
139,DCV,02.5547,V,,,,,,,,
140,DCV,02.5532,V,,,,,,,,
141,DCV,02.5520,V,,,,,,,,
142,DCV,02.5509,V,,,,,,,,
143,DCV,02.5498,V,,,,,,,,
144,DCV,02.5486,V,,,,,,,,
145,DCV,02.5474,V,,,,,,,,
146,DCV,02.5463,V,,,,,,,,
147,DCV,02.5451,V,,,,,,,,
148,DCV,02.5438,V,,,,,,,,
149,DCV,02.5426,V,,,,,,,,
150,DCV,02.5415,V,,,,,,,,
151,DCV,02.5401,V,,,,,,,,
152,DCV,02.5389,V,,,,,,,,
153,DCV,02.5376,V,,,,,,,,
154,DCV,02.5363,V,,,,,,,,
155,DCV,02.5351,V,,,,,,,,
156,DCV,02.5339,V,,,,,,,,
157,DCV,02.5327,V,,,,,,,,
158,DCV,02.5316,V,,,,,,,,
159,DCV,02.5303,V,,,,,,,,
160,DCV,02.5293,V,,,,,,,,
161,DCV,02.5281,V,,,,,,,,
162,DCV,02.5270,V,,,,,,,,
163,DCV,02.5257,V,,,,,,,,
164,DCV,02.5246,V,,,,,,,,
165,DCV,02.5234,V,,,,,,,,
166,DCV,02.5223,V,,,,,,,,
167,DCV,02.5210,V,,,,,,,,
168,DCV,02.5198,V,,,,,,,,
169,DCV,02.5181,V,,,,,,,,
